Synchronous,Asynchronous
1,0.98
1,0.98
1,0.93
1,0.97
1,0.96
1,0.96
1,0.94
1,0.96
0,0.97
1,0.99
1,0.96
1,0.96
1,0.98
1,0.97
1,0.96
1,0.95
1,0.98
1,0.98
1,0.98
1,0.98
1,0.94
1,0.99
1,0.97
1,0.97
1,0.94
1,0.97
1,0.96
1,0.99
1,0.96
1,0.96
1,0.99
1,1.0
1,1.0
1,0.97
1,0.95
1,0.95
0,0.99
1,0.99
1,0.95
1,0.98
1,0.99
1,0.95
1,0.96
1,0.99
1,0.96
1,0.98
0,0.93
1,0.94
1,0.98
1,0.98
1,0.94
1,0.97
1,0.98
1,0.97
1,0.99
0,0.89
1,0.98
1,0.96
1,0.97
1,0.97
1,0.98
1,0.95
1,0.97
1,0.97
1,0.99
1,0.97
1,0.97
1,0.96
1,0.98
1,0.97
1,0.96
1,0.97
1,0.98
1,0.98
1,0.97
1,0.96
1,0.91
1,0.99
1,0.99
1,0.99
1,0.99
1,1.0
1,0.98
1,0.97
1,0.97
1,0.97
1,0.98
1,0.99
1,1.0
1,0.97
1,0.97
1,0.97
1,0.99
1,0.94
1,0.97
1,0.97
1,0.99
1,0.97
1,0.96
1,0.96
1,0.95
1,1.0
1,0.99
1,0.98
1,0.98
1,0.94
1,0.95
1,0.98
1,0.98
1,0.98
1,0.96
1,0.94
1,0.99
1,0.95
1,0.96
0,0.96
1,1.0
1,0.99
1,0.96
1,0.96
1,0.98
1,0.94
1,0.95
1,0.99
1,0.98
1,0.96
1,0.97
1,0.98
1,0.98
1,0.98
1,0.98
1,0.94
1,0.96
1,0.99
1,0.98
0,0.98
1,0.98
1,0.95
1,0.98
1,0.96
1,0.97
1,0.94
1,0.98
1,0.95
1,0.96
1,0.97
1,0.97
1,1.0
1,0.99
1,1.0
1,0.97
1,0.99
1,0.97
1,0.99
1,0.96
1,0.99
1,0.98
1,0.96
1,0.99
1,0.97
1,0.96
1,0.92
1,0.99
1,0.98
1,0.94
1,0.98
1,0.98
1,0.97
1,0.99
1,0.98
1,0.98
1,0.97
1,0.97
1,0.94
1,0.94
1,1.0
1,0.98
1,0.97
1,0.97
1,0.98
1,0.97
1,0.99
1,0.97
1,0.97
0,0.98
1,0.96
1,0.96
1,1.0
0,0.94
1,0.99
1,0.96
1,0.97
1,0.98
1,0.98
1,0.99
1,0.95
1,0.98
1,0.98
1,0.99
1,1.0
1,0.96
1,0.96
1,0.96
1,0.98
1,0.98
1,0.98
1,0.98
1,0.97
1,0.95
1,1.0
0,0.98
1,0.98
1,0.98
1,0.95
1,0.97
1,0.98
1,0.97
1,0.95
1,1.0
1,0.99
1,1.0
1,0.97
1,0.99
1,0.96
1,1.0
1,0.97
1,0.96
1,0.94
1,0.98
1,0.99
1,0.98
1,1.0
1,0.99
1,0.99
1,0.96
1,0.97
1,0.97
1,0.98
0,0.98
1,0.97
1,0.96
1,0.97
1,0.96
1,0.95
1,0.98
1,0.99
1,0.96
1,0.98
1,0.99
1,0.99
1,1.0
1,0.96
1,0.99
1,0.99
1,0.98
1,0.97
1,0.97
1,0.99
1,0.97
1,0.98
1,0.95
1,0.96
1,0.97
1,0.99
1,0.96
1,0.98
1,0.98
1,0.97
1,0.98
1,0.99
1,0.98
1,0.97
1,0.98
1,0.98
1,0.97
1,0.96
1,0.97
1,0.98
1,0.96
1,0.96
1,0.97
1,0.95
1,0.96
1,0.98
1,0.96
1,0.97
1,0.97
1,0.98
1,0.94
1,0.94
1,0.98
1,0.99
1,0.97
1,0.99
1,0.97
1,0.97
1,0.99
1,0.95
1,0.99
1,0.99
1,0.98
1,0.96
1,0.92
1,0.97
1,0.95
1,0.98
1,0.99
0,0.94
1,0.98
1,0.95
1,0.98
1,0.97
1,0.94
1,0.99
1,0.97
1,0.99
1,0.94
1,0.98
1,0.97
1,0.97
1,0.97
1,0.95
0,0.95
1,0.99
1,0.99
1,0.96
1,0.98
1,0.99
1,0.95
1,1.0
1,0.99
0,0.98
1,0.97
1,0.98
1,0.99
1,0.97
1,0.95
1,0.95
1,0.98
1,0.98
1,0.95
1,0.99
0,0.99
1,0.98
1,0.99
1,0.99
1,0.96
1,1.0
1,1.0
1,0.97
1,0.97
1,0.98
0,0.99
1,0.97
1,0.97
1,0.97
1,0.95
1,0.98
1,0.99
1,1.0
1,0.98
1,1.0
1,0.95
1,0.98
1,0.96
1,0.97
1,0.98
1,0.97
1,0.96
1,0.92
1,0.94
1,0.97
1,0.98
1,0.98
1,0.99
1,0.98
1,0.95
0,0.98
1,0.97
1,1.0
1,0.99
1,0.98
1,0.96
1,0.98
1,0.96
1,0.98
1,0.99
1,0.96
1,0.97
1,1.0
1,0.99
1,0.98
1,1.0
0,0.9
1,0.98
1,0.95
1,0.98
1,0.95
1,0.96
1,0.97
1,0.98
1,0.98
1,0.98
1,0.96
1,0.97
1,0.98
1,0.99
1,0.99
1,0.96
1,1.0
1,0.97
1,0.99
1,1.0
1,0.97
1,0.98
1,0.97
1,0.98
1,0.95
1,0.98
1,0.96
1,0.97
1,0.97
1,0.96
1,0.98
1,0.96
1,0.94
1,0.97
1,0.96
1,0.97
1,0.98
1,0.98
1,0.97
1,0.96
1,0.98
1,0.94
1,0.98
1,0.97
1,0.97
1,0.96
1,0.94
1,0.99
1,0.93
0,0.97
1,0.98
1,0.99
1,0.97
1,0.94
1,0.96
1,0.97
1,0.95
1,0.97
1,0.96
1,0.99
1,0.97
1,0.97
1,0.98
1,0.95
1,0.99
1,0.93
1,0.96
1,0.98
1,0.95
1,0.95
1,0.95
1,0.93
1,0.99
1,0.97
1,0.99
1,0.96
1,0.99
1,0.97
1,1.0
1,0.98
1,0.97
1,0.97
1,0.96
1,0.99
1,0.98
1,0.98
1,0.98
1,0.97
1,0.97
1,0.95
1,0.96
1,0.98
1,0.98
1,0.94
1,0.98
1,0.98
1,0.95
1,1.0
1,0.99
1,0.99
1,0.97
1,0.97
1,0.96
1,0.98
1,0.95
1,0.99
1,0.96
1,0.95
1,0.95
1,1.0
1,0.93
1,0.96
1,0.92
1,0.97
1,0.96
1,0.98
1,0.98
1,0.97
1,0.97
1,0.98
1,0.95
1,0.98
1,0.94
1,0.99
1,1.0
1,0.99
1,0.96
1,0.99
1,0.99
1,0.97
1,0.99
1,0.96
1,0.98
1,0.96
1,0.99
1,0.97
1,0.99
1,0.96
1,0.99
1,0.98
1,0.97
1,0.99
1,0.99
1,0.94
1,0.98
1,0.95
1,0.97
1,0.98
1,0.96
1,0.99
1,0.99
1,0.98
1,0.97
1,0.96
1,0.96
1,0.96
1,0.95
1,0.98
1,0.97
1,0.96
1,0.99
1,0.96
1,0.98
1,0.91
1,0.98
1,0.95
1,0.97
1,0.99
1,1.0
1,0.98
1,0.99
1,1.0
1,0.97
1,1.0
1,0.98
1,0.98
1,1.0
1,0.98
1,0.95
1,0.97
1,0.98
1,0.97
1,0.97
1,0.97
0,1.0
1,0.97
1,0.97
1,0.99
1,1.0
1,0.97
1,0.97
1,0.99
1,0.98
1,0.97
1,0.96
1,0.98
1,1.0
1,0.98
1,0.99
1,0.97
1,0.96
1,0.97
1,0.95
1,0.97
1,0.99
1,0.96
1,0.97
1,0.98
1,0.97
1,0.97
1,0.93
1,0.97
1,0.99
1,0.97
1,0.99
1,0.96
1,0.99
1,0.97
1,0.97
1,0.98
1,0.92
1,1.0
1,0.97
1,0.97
1,0.98
1,0.99
1,0.97
1,1.0
1,0.91
1,0.98
1,0.99
1,1.0
1,0.99
1,0.95
1,0.98
1,0.97
1,0.95
1,0.97
1,0.94
1,0.97
0,0.97
1,0.96
1,0.99
1,0.95
1,0.96
1,0.91
1,0.98
1,0.98
1,0.94
1,0.97
1,0.98
1,0.97
1,0.97
1,0.96
1,0.98
1,0.98
1,0.98
1,0.95
1,0.97
1,1.0
1,0.91
1,0.99
1,0.99
1,0.98
1,0.95
1,0.96
1,0.96
1,0.95
1,0.97
1,0.97
1,0.99
1,0.97
1,0.97
1,1.0
1,0.94
1,0.98
1,0.99
